algoritmo,tipoDato,tiempo1000,tiempo10000,tiempo100000
Swap Sort,int,4607917,308353833,34970238917
Bubble Sort,int,3939917,386722333,33941888125
Selection Sort,int,1452167,141102542,14090207084
Insertion Sort,int,840500,86153209,8187681292
Merge Sort,int,919417,10313750,110159416
Quick Sort,int,75500,927750,11600083
Shell Sort,int,122041,1906458,27081333
Swap Sort,double,2856625,323256209,33653291292
Bubble Sort,double,3028916,339203250,34663183792
Selection Sort,double,1421167,134202625,13567283792
Insertion Sort,double,862417,82268500,8108358584
Merge Sort,double,903791,10230958,112555459
Quick Sort,double,80625,1026000,12771166
Shell Sort,double,137833,1924209,27641625
Swap Sort,char,1484250,135875916,13431022667
Bubble Sort,char,2841250,308082500,30766700375
Selection Sort,char,1372667,134120666,13430866583
Insertion Sort,char,828041,81050542,7641888875
Merge Sort,char,862667,9813000,104436917
Quick Sort,char,123333,7885625,747733458
Shell Sort,char,84000,1102833,12817334
